player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Squire, L",8,1,Highlanders ,1,4,1,,2,2,66.7,80,,3,2,60,,,,,,,,1,1
"Naholo, W",14,1,Highlanders ,1,2,1,,1,1,50,66.7,,1,2,33.3,,,,,,,,1,1
"Faddes, M",23,1,Highlanders ,1,1,1,,1,,50,50,,,2,,,,2,,,,,,
"Osborne, P",11,1,Highlanders ,1,1,1,,,1,,50,1,,1,50,,,,,,,,1,1
"Parker, H",22,1,Highlanders ,1,,1,,,,,,,,1,,,,,,,,,,
"Thomson, B",4,1,Hurricanes ,1,11,,,10,1,100,100,1,6,4,63.6,,,,1,,1,,,
"Abbot, M",5,1,Hurricanes ,1,10,,,9,1,100,100,,6,4,60,,,,,,,,,
"Shields, B",6,1,Hurricanes ,1,10,,,8,2,100,100,1,7,2,80,,,,,,,,,
"Savea, A",7,1,Hurricanes ,1,9,2,,7,2,77.8,81.8,1,2,8,27.3,,,,,,,,1,1
"Vito, V",8,1,Hurricanes ,1,7,1,,7,,87.5,87.5,,3,5,37.5,,,,,,,,,
"Apisai, L",2,1,Hurricanes ,1,6,,,5,1,100,100,,4,2,66.7,,,2,,,,,,
"Goodes, R",1,1,Hurricanes ,1,6,,,6,,100,100,,6,,100,,,,,,,,,
"Gibbins, C",20,1,Hurricanes ,1,4,,,4,,100,100,,4,,100,,,,1,,1,,,
"Aso, V",13,1,Hurricanes ,1,3,3,,3,,50,50,,2,4,33.3,,,2,,,,,,
"Jane, C",14,1,Hurricanes ,1,3,1,,2,1,66.7,75,2,,2,50,,,,1,,1,,,
"Milner-Skudder, N",15,1,Hurricanes ,1,3,1,,3,,75,75,,1,3,25,,,,,,,,,
"Allen, J",3,1,Hurricanes ,1,2,,,2,,100,100,,1,1,50,,,,,,,1,2,3
"Barrett, B",10,1,Hurricanes ,1,2,1,,1,1,50,66.7,,,3,,,,2,,,,,,
"Eves, C",17,1,Hurricanes ,1,2,,,1,1,100,100,,1,1,50,,,,,,,1,,1
"Fifita, V",19,1,Hurricanes ,1,2,,,1,1,100,100,,2,,100,,,,,,,,,
"Lauampe, N",12,1,Hurricanes ,1,2,1,,1,1,50,66.7,,2,1,66.7,,,1,,,,,,
"Perenara, TJ",9,1,Hurricanes ,1,2,2,,2,,50,50,,,4,,,,,1,,1,,,
"Riccitelli, R",16,1,Hurricanes ,1,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Savea, J",11,1,Hurricanes ,1,1,1,,,1,,50,,1,1,50,,,,,,,,,
