Team,Round,kicksTerritorialTot,kicksTerritorialDist,kicksTerritorialAvg,kicksBombTot,kicksBombDist,kicksBoxTot,kicksBoxDist,kicksChipTot,kicksChipDist,kicksCrossFieldTot,kicksCrossFieldDist,kicksLowTot,kicksLowDist,kicksChgdDown,kicksTotal,kicksTotalDist
Blues,16,5,159,31.8,2,45,5,143,3,55,4,61,2,37,,21,500
Brumbies,16,12,524,43.7,2,48,1,30,2,45,1,13,4,26,,22,686
Bulls,16,9,461,51.2,,,,,1,23,,,6,158,,16,642
Cheetahs,16,13,561,43.2,2,68,5,127,4,90,,,3,61,1,27,907
Chiefs,16,13,541,41.6,,,,,,,2,30,2,39,1,17,610
Crusaders,16,11,549,49.9,,,3,73,,,1,26,4,76,,19,724
Force,16,21,976,46.5,9,199,3,52,2,30,,,3,52,,38,1309
Highlanders,16,12,355,29.6,,,4,110,2,48,1,3,2,29,2,21,545
Hurricanes,16,15,543,36.2,4,120,4,135,7,183,2,25,1,10,1,33,1016
Jaguares,16,8,312,39,3,75,1,11,5,95,2,42,2,36,,21,571
Kings,16,12,401,33.4,,,,,2,36,,,1,10,,15,447
Lions,16,7,182,26,,,2,52,1,10,,,1,15,,11,259
Rebels,16,6,168,28,3,75,,,1,23,,,3,64,1,13,330
Reds,16,9,244,27.1,,,5,148,,,,,,,,14,392
Sharks,16,17,557,32.8,2,54,9,276,4,94,,,3,66,1,35,1047
Stormers,16,24,885,36.9,12,285,5,91,3,48,,,4,97,,48,1406
Sunwolves,16,9,346,38.4,1,32,,,1,14,1,8,3,23,,15,423
Waratahs,16,10,427,42.7,3,81,6,175,1,13,,,1,15,1,21,711
Blues,17,10,377,37.7,3,77,4,114,1,18,1,8,7,127,,26,721
Brumbies,17,14,504,36,2,50,5,92,3,53,1,20,2,23,1,27,742
Bulls,17,7,306,43.7,1,33,9,285,1,23,,,3,52,1,21,699
Cheetahs,17,8,345,43.1,1,34,2,64,2,41,,,,,,13,484
Chiefs,17,5,196,39.2,2,59,5,142,2,42,2,33,1,18,,17,490
Crusaders,17,14,466,33.3,2,46,3,48,3,47,1,11,1,31,1,24,649
Force,17,18,642,35.7,1,25,1,24,1,18,2,23,2,52,2,25,784
Highlanders,17,2,72,36,3,79,8,122,3,83,,,3,60,,19,416
Hurricanes,17,10,342,34.2,1,23,1,20,4,112,,,4,65,,20,562
Jaguares,17,6,250,41.7,1,22,3,91,1,13,,,,,,11,376
Kings,17,11,421,38.3,4,111,1,20,1,17,1,22,5,85,1,23,676
Lions,17,5,130,26,1,32,2,26,1,21,1,22,3,33,1,13,264
Rebels,17,14,603,43.1,2,64,3,65,,,,,2,32,1,21,764
Reds,17,4,152,38,2,39,3,79,,,,,2,53,1,11,323
Sharks,17,16,627,39.2,5,125,3,106,3,82,,,3,37,1,30,977
Stormers,17,15,676,45.1,,,3,42,4,53,1,18,4,65,,27,854
Sunwolves,17,19,740,38.9,2,69,1,1,1,26,1,25,3,58,,27,919
Waratahs,17,8,276,34.5,1,28,3,80,2,32,1,17,1,5,,16,438
Brumbies,18,18,675,37.5,4,123,7,188,1,23,,,3,96,1,33,1105
Chiefs,18,13,622,47.8,1,23,2,56,2,35,2,43,6,98,,26,877
Crusaders,18,11,564,51.3,4,128,1,40,1,20,2,6,,,1,19,758
Highlanders,18,11,414,37.6,6,169,5,159,3,73,,,3,82,,28,897
Hurricanes,18,19,812,42.7,1,53,7,187,3,57,1,19,6,135,,37,1263
Lions,18,16,666,41.6,2,55,6,136,2,42,,,3,33,1,29,932
Sharks,18,17,567,33.4,,,8,227,5,108,1,53,7,171,1,38,1126
Stormers,18,10,263,26.3,2,49,3,63,1,21,,,4,19,2,20,415
