Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Reds,11,167,5,172,24,131,383,13,47,5,122,118,239,38,277,33,20,8,10,14.37,2.9,90.08,43,46.51
Hurricanes,11,198,8,211,24,136,574,27,55,8,132,107,125,65,190,55,24,3,11,12.12,4.2,78.68,52,46.15
Highlanders,11,109,12,121,32,97,356,10,31,6,69,62,127,9,136,36,10,3,9,29.36,3.7,63.92,43,23.26
Force,11,135,14,149,22,105,458,14,41,6,87,77,134,18,152,29,8,5,9,16.30,4.4,73.33,43,18.60
Crusaders,11,117,13,133,22,81,382,18,27,11,54,40,65,12,77,34,12,3,15,18.80,4.7,49.38,46,26.09
Chiefs,11,174,6,181,21,118,435,28,41,9,101,83,158,24,182,32,23,5,10,12.07,3.7,70.34,50,46.00
Cheetahs,11,100,5,107,14,73,286,8,24,4,65,53,58,59,117,25,25,3,14,14.00,3.9,72.60,38,65.79
Bulls,11,78,5,85,20,71,225,9,28,5,64,53,99,30,129,27,20,3,16,25.64,3.2,74.65,33,60.61
Brumbies,11,184,,185,26,128,422,9,54,5,112,115,203,77,280,34,14,2,9,14.13,3.3,89.84,42,33.33
Kings,11,134,6,142,16,101,336,16,45,7,94,80,150,70,220,29,17,3,12,11.94,3.3,79.21,44,38.64
Blues,11,154,5,162,19,113,387,37,39,7,109,93,166,71,237,36,14,2,8,12.34,3.4,82.30,44,31.82
Waratahs,12,200,8,210,23,131,550,15,51,8,111,103,,,,43,19,2,6,11.50,4.2,78.63,47,40.43
Sunwolves,12,107,4,112,24,98,285,8,48,4,83,77,173,17,190,41,17,2,8,22.43,2.9,78.57,41,41.46
Stormers,12,134,12,146,23,127,446,22,49,6,108,100,166,27,193,40,16,5,13,17.16,3.5,78.74,47,34.04
Sharks,12,75,4,82,16,71,233,4,30,,62,56,114,22,136,28,13,1,10,21.33,3.3,78.87,38,34.21
Reds,12,140,5,147,22,122,382,18,38,6,117,103,,,,40,17,,5,15.71,3.1,84.43,49,34.69
Rebels,12,171,6,179,13,116,387,18,51,10,106,92,163,61,224,35,13,4,10,7.60,3.3,79.31,31,41.94
Lions,12,117,3,121,37,82,398,20,38,9,69,72,91,65,156,55,12,3,9,31.62,4.9,87.80,55,21.82
Jaguares,12,132,9,145,18,135,480,21,57,5,115,105,184,31,215,44,19,2,12,13.64,3.6,77.78,39,48.72
Hurricanes,12,109,2,113,27,88,461,20,41,13,75,66,,,,29,16,1,13,24.77,5.2,75.00,43,37.21
Highlanders,12,126,11,138,30,94,480,15,33,10,67,48,78,20,98,37,16,1,11,23.81,5.1,51.06,47,34.04
Crusaders,12,199,10,210,25,139,529,25,48,13,120,96,168,64,232,36,13,2,8,12.56,3.8,69.06,47,27.66
Bulls,12,117,11,129,23,100,361,14,33,5,90,80,,,,35,15,6,14,19.66,3.6,80.00,38,39.47
Brumbies,12,168,8,177,13,133,391,15,55,10,120,108,168,57,225,33,7,5,11,7.74,2.9,81.20,32,21.88
Blues,12,108,4,113,25,97,289,8,34,4,90,82,107,100,207,40,22,3,11,23.15,3.0,84.54,45,48.89
Kings,12,116,2,119,25,98,387,16,32,8,84,74,125,31,156,40,24,1,7,21.55,3.9,75.51,52,46.15
Cheetahs,12,127,3,131,16,96,475,23,38,10,84,78,118,40,158,37,25,3,13,12.60,4.9,81.25,47,53.19
Waratahs,13,165,9,176,34,135,480,21,49,9,116,95,181,41,222,54,21,2,11,20.61,3.6,70.37,55,38.18
Sunwolves,13,138,3,141,19,98,512,23,38,12,77,63,131,10,141,33,16,1,11,13.77,5.2,64.29,40,40.00
Stormers,13,137,8,146,13,120,357,16,49,5,114,100,152,61,213,29,15,5,13,9.49,3.0,83.33,36,41.67
Sharks,13,120,14,135,20,117,781,17,39,14,87,70,128,20,148,35,20,2,5,16.67,6.7,59.83,48,41.67
