Team,Round,tacklesMade,tacklesMissed,tacklesPen,tackles1st,tacklesAssist,tackles1stPerc,tacklesMadePerc,contestSuccesDom,contestSuccesNeut,contestSuccesPass,contestSuccesDNPerc,defenceRuckMaul,defenceRucksEff,defenceRucksIneff,defenceRucksInv,defenceRucksTOFrc,lineOutStls,defenceScrumWins,defenceTOForced,defencePFAtt,defencePFDef,defencePFTotal,totalTackles,turnOversForced
Highlanders,4,172,30,4,130,42,81.3,83.5,8,104,94,54.4,111,42,42,84,4,3,1,7,,,9,202,8
Crusaders,4,99,7,2,83,16,92.2,91.7,8,69,31,71.3,85,13,21,34,6,,1,6,,,10,106,7
Chiefs,4,139,19,2,104,35,84.6,86.9,5,86,69,56.9,80,14,24,38,3,1,1,4,,,8,158,5
Cheetahs,4,111,36,1,95,16,72.5,75,8,72,68,54.1,88,28,33,61,13,,,13,,,4,147,13
Bulls,4,56,17,2,51,5,75,74.7,5,42,28,62.7,52,9,10,19,7,2,1,9,,,7,73,10
Brumbies,4,105,15,1,74,31,83.1,86.8,7,58,56,53.7,63,2,40,42,8,,,8,,,6,120,8
Blues,4,90,16,3,73,17,82,82.6,11,58,40,63.3,72,37,2,39,11,2,,13,,,13,106,13
Waratahs,5,124,20,2,109,15,84.5,84.9,13,85,48,67.1,90,6,38,44,11,,2,11,,,14,144,13
Sunwolves,5,105,20,3,84,21,80.8,82,5,65,58,54.7,81,46,10,56,4,,1,4,,,12,125,5
Stormers,5,195,32,5,136,59,81,84.1,13,137,82,64.7,115,13,98,111,8,2,2,10,,,10,227,12
Sharks,5,135,14,1,93,42,86.9,90,8,87,55,63.3,73,28,72,100,3,,,3,,,4,149,3
Reds,5,70,16,1,58,12,78.4,80.5,9,45,33,62.1,47,3,16,19,4,,1,4,,,2,86,5
Rebels,5,93,12,2,83,10,87.4,86.9,9,64,34,68.2,68,3,17,20,4,,,4,,,4,105,4
Kings,5,118,34,4,94,24,73.4,75.6,9,65,82,47.4,78,47,3,50,7,,1,7,,,10,152,8
Jaguares,5,78,22,1,60,18,73.2,77.2,7,54,40,60.4,54,9,45,54,4,1,3,5,,,9,100,8
Hurricanes,5,86,13,2,76,10,85.4,85.1,9,44,48,52.5,73,21,4,25,3,1,,4,,,7,99,4
Highlanders,5,134,11,2,106,28,90.6,91.2,14,98,35,76.2,99,13,26,39,4,1,1,5,,,7,145,6
Western Force,5,100,22,2,88,12,80,80.6,3,32,89,28.2,65,14,20,34,3,,,3,,,4,122,3
Crusaders,5,56,6,1,48,8,88.9,88.9,2,46,15,76.2,40,15,36,51,5,1,2,6,,,8,62,8
Chiefs,5,95,13,1,83,12,86.5,87.2,5,59,45,58.7,79,34,41,75,6,,1,6,,,4,108,7
Cheetahs,5,76,10,2,63,13,86.3,86.4,3,46,39,55.7,50,5,16,21,4,3,2,7,,,10,86,9
Bulls,5,48,8,,37,11,82.2,85.7,5,29,22,60.7,31,23,2,25,8,3,3,11,,,5,56,14
Brumbies,5,84,14,2,73,11,83.9,84,14,50,36,64,68,3,32,35,11,1,2,12,,,14,98,14
Sunwolves,6,80,16,,68,12,81,83.3,11,47,38,60.4,55,4,30,34,8,,,8,,,6,96,8
Lions,6,94,19,1,75,19,79.8,82.5,10,57,47,58.8,52,2,12,14,6,,1,6,,,4,113,7
Kings,6,170,22,5,126,44,85.1,86.3,11,121,65,67,103,4,75,79,8,2,3,10,,,11,192,13
Jaguares,6,128,25,2,107,21,81.1,82.6,14,67,74,52.3,91,50,5,55,4,1,1,5,,,8,153,6
Highlanders,6,152,15,1,127,25,89.4,90.5,23,88,57,66.1,111,52,3,55,5,3,1,8,,,4,167,9
Western Force,6,112,32,4,103,9,76.3,75.7,17,46,85,42.6,72,51,3,54,12,1,,13,,,4,144,13
Crusaders,6,127,29,3,104,23,78.2,79.9,5,91,63,60.4,90,2,28,30,6,,1,6,,,10,156,7
Chiefs,6,79,16,1,68,11,81,82.3,7,56,33,65.6,59,9,20,29,10,1,1,11,,,8,95,12
Cheetahs,6,143,21,4,106,37,83.5,85.1,5,75,88,47.6,98,18,51,69,8,,4,8,,,9,164,12
